,Word,Count
1566,bualbual,1
1567,posisi,74
1568,budhaya,2
1569,hatur,4
1570,yayasan,27
1571,dablek,7
1572,partai,461
1573,adil,186
1574,nasib,97
1575,tunjang,119
1576,potong,92
1577,tetap,473
1578,open,19
1579,donation,3
1580,hms,4
1581,center,32
1582,hardjuno,1
1583,wiwoho,1
1584,sentuh,76
1585,gulir,29
1586,prosedur,126
1587,korea,90
1588,sisa,45
1589,14,249
1590,asia,49
1591,pasifik,4
1592,india,46
1593,lampau,26
1594,ekspor,86
1595,bas,53
1596,alkohol,3
1597,langka,10
1598,abkindonesia,2
1599,ilegalfishingtengelamkan,1
1600,2020berkata,11
1601,akhlak,11
1602,binatang,13
1603,miris,60
1604,astagfirulah,13
1605,asli,66
1606,berkata2,2
1607,tempeh,158
1608,hastadi,3
1609,kuncoro,3
1610,brigadir,477
